model,category,region,context_length,masked_text,description,script_type,detected_script,top_1_prediction,top_1_score,top_3_predictions,expected_tokens,expected_in_top_1,expected_in_top_3,expected_in_top_5,best_match_position,predicted_age,age_confidence,predicted_region,region_confidence,predicted_formality,formality_confidence,prediction_language
Fine-tuned Model,context_length_variation,Mixed,medium,Kal maine market mein shopping karte samay <mask> dekha aur mujhe bahut accha laga.,Medium context with 10-12 words,romanized,mixed,yam,0.05002913624048233,"yam, yan, kaam","sale, discount, kuch",False,False,False,-1,under 30,0.6835834980010986,rural,0.5803576111793518,informal,0.6996557116508484,English
Fine-tuned Model,context_length_variation,Mixed,medium,"Project deadline next week hai, isliye hume <mask> complete karna hoga jaldi se.",Medium context with work setting,mixed,english,project,0.594673752784729,"project, projects, report","work, documentation, sab",False,False,True,3,under 30,0.6380802392959595,urban,0.6692618727684021,formal,0.623155951499939,English
Fine-tuned Model,context_length_variation,Mixed,long,Main pichhle hafte se is project par kaam kar raha hoon. Boss ne kaha hai ki agar <mask> time par ho jaye to bonus milega. Isliye main extra hours bhi laga raha hoon.,Long context with 20+ words across multiple sentences,romanized,mixed,project,0.23248882591724396,"project, working, projects","project, kaam, delivery",True,True,True,0,under 30,0.6380802392959595,urban,0.6692618727684021,formal,0.623155951499939,English
Fine-tuned Model,context_length_variation,Mixed,long,College ke final year mein humare group ne ek mobile app develop kiya tha. Usme <mask> features the jo users ko bahut pasand aaye. Professor ne bhi kaha tha ki ye commercially viable ho sakta hai.,Long context with 25+ words across multiple sentences,mixed,mixed,bahut,0.10061651468276978,"bahut, kuch, sab","unique, interesting, useful",False,False,True,4,under 30,0.7623666524887085,urban,0.5380371809005737,informal,0.7865557074546814,English
Fine-tuned Model,script_variation,Mixed,medium,Aaj maine market mein <mask> kharida kyunki kal dost ke ghar jana hai.,Pure Romanized Hindi sentence,romanized,mixed,baat,0.03213970363140106,"baat, bhi, kaam","gift, kuch, samaan",False,False,False,-1,under 30,0.6528459191322327,urban,0.5326085686683655,formal,0.6051515936851501,English
Fine-tuned Model,script_variation,Mixed,medium,Mujhe lagta hai ki iss saal <mask> bahut acchi hogi.,Pure Romanized Hindi with prediction,romanized,mixed,aap,0.2340562492609024,"aap, mein, projects","garmi, barish, salary",False,False,False,-1,under 30,0.7194896340370178,urban,0.622787356376648,informal,0.6127737164497375,English
Fine-tuned Model,script_variation,Mixed,medium,Weekend par main <mask> movie dekhne jaunga friends ke saath.,Mixed Romanized Hindi and English,mixed,mixed,bhi,0.09245037287473679,"bhi, yeh, ek","new, latest, ek",False,True,True,2,under 30,0.6574826240539551,urban,0.5236936807632446,informal,0.6952146887779236,English
Fine-tuned Model,script_variation,Mixed,medium,Meeting ke baad hum <mask> discuss karenge project ke baare mein.,Mixed Romanized Hindi and English in work context,mixed,mixed,details,0.1778443455696106,"details, sab, project","details, plan, strategy",True,True,True,0,under 30,0.6623753309249878,urban,0.5687983632087708,formal,0.6240397691726685,English
Fine-tuned Model,script_variation,Mixed,medium,<mask> time par office pahunchna important hai.,Code-switching at the beginning,mixed,mixed,Part,0.05930343270301819,"Part, Mere, First","on, right, correct",False,False,False,-1,under 30,0.6900889873504639,urban,0.5681273341178894,informal,0.5466436147689819,English
Fine-tuned Model,script_variation,Mixed,medium,Main ghar <mask> late pahuncha because of traffic.,Code-switching in the middle,mixed,english,bhi,0.17267760634422302,"bhi, main, par","se, pe, mein",False,False,True,3,under 30,0.6574826240539551,urban,0.5236936807632446,informal,0.6952146887779236,English
Baseline Model,regional_with_context,North,long,Delhi ki garmi mein <mask> lag raha hai. Red Fort ke paas sabse zyada bheed hai.,"Northern context with landmarks (Delhi, Red Fort)",romanized,mixed,kuch,0.09770502895116806,"kuch, pata, kya","pasina, garam, hot",False,False,False,-1,under 30,0.7399872541427612,rural,0.5207175016403198,formal,0.5219197273254395,English
Baseline Model,regional_with_context,North,short,Delhi mein <mask> khana best hai.,Northern context with short reference,romanized,mixed,kya,0.15373103320598602,"kya, yeh, ye","chaat, street, local",False,False,False,-1,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478,English
Baseline Model,regional_with_context,South,long,Chennai ke beach par <mask> karte hue bahut maza aaya. Marina Beach is so beautiful in the evening.,"Southern context with landmarks (Chennai, Marina Beach)",mixed,english,safari,0.06716707348823547,"safari, cruise, relax","walk, sunset, time",False,False,False,-1,under 30,0.7392163872718811,urban,0.5141541361808777,informal,0.6705760359764099,English
Baseline Model,regional_with_context,South,short,Bangalore mein <mask> company hai.,Southern context with short reference,romanized,mixed,koi,0.07011201232671738,"koi, ek, IT","IT, tech, software",False,True,True,2,under 30,0.6667713522911072,rural,0.6063034534454346,informal,0.5892747640609741,English
Baseline Model,regional_with_context,West,long,Mumbai ke Marine Drive par <mask> dekhna sabse accha lagta hai. Vahan pe sabhi log shaam ko aate hain.,"Western context with landmarks (Mumbai, Marine Drive)",romanized,mixed,kaam,0.05765484273433685,"kaam, Mumbai, train","sunset, sea, view",False,False,False,-1,under 30,0.6613757610321045,rural,0.5680843591690063,informal,0.6074380874633789,English
Baseline Model,regional_with_context,West,short,Pune mein <mask> weather hai.,Western context with short reference,romanized,mixed,nice,0.43453824520111084,"nice, good, bad","accha, pleasant, nice",True,True,True,0,under 30,0.703629195690155,urban,0.524649977684021,formal,0.5062890648841858,English
Baseline Model,context_length_variation,Mixed,minimal,<mask> khaana.,Minimal context with just 1 other word,romanized,english,Dua,0.015322527848184109,"Dua, -, Ada","khana, dinner, lunch",False,False,False,-1,under 30,0.7198108434677124,rural,0.5518351197242737,informal,0.5097569823265076,English
Baseline Model,context_length_variation,Mixed,minimal,Meeting <mask>.,Minimal context with just 1 other word,mixed,mixed,of,0.05882091447710991,"of, :, .","hai, khatam, cancel",False,False,False,-1,under 30,0.7045668959617615,urban,0.5850147008895874,formal,0.6018825173377991,English
Baseline Model,context_length_variation,Mixed,short,Office mein <mask> meeting hai.,Short context with 3-4 words,romanized,mixed,ek,0.09361135959625244,"ek, daily, morning","ek, important, team",True,True,True,0,under 30,0.6796205043792725,urban,0.5311543941497803,informal,0.5172804594039917,English
Baseline Model,context_length_variation,Mixed,short,Main <mask> kaam kar raha hoon.,Short context with 5-6 words,romanized,mixed,apna,0.15564891695976257,"apna, bhi, ek","important, office, ghar",False,False,False,-1,under 30,0.711442232131958,rural,0.6321161985397339,informal,0.7732058167457581,English
Baseline Model,context_length_variation,Mixed,medium,Kal maine market mein shopping karte samay <mask> dekha aur mujhe bahut accha laga.,Medium context with 10-12 words,romanized,mixed,market,0.034545816481113434,"market, ko, kaha","sale, discount, kuch",False,False,False,-1,under 30,0.6895486116409302,urban,0.8385652899742126,formal,0.5518184304237366,English
Baseline Model,context_length_variation,Mixed,medium,"Project deadline next week hai, isliye hume <mask> complete karna hoga jaldi se.",Medium context with work setting,mixed,english,project,0.11051363497972488,"project, projects, work","work, documentation, sab",False,True,True,2,under 30,0.6380802392959595,urban,0.6692618727684021,formal,0.623155951499939,English
Baseline Model,context_length_variation,Mixed,long,Main pichhle hafte se is project par kaam kar raha hoon. Boss ne kaha hai ki agar <mask> time par ho jaye to bonus milega. Isliye main extra hours bhi laga raha hoon.,Long context with 20+ words across multiple sentences,romanized,mixed,full,0.11496642231941223,"full, part, working","project, kaam, delivery",False,False,False,-1,under 30,0.6191975474357605,urban,0.5605380535125732,formal,0.909057080745697,English
Baseline Model,context_length_variation,Mixed,long,College ke final year mein humare group ne ek mobile app develop kiya tha. Usme <mask> features the jo users ko bahut pasand aaye. Professor ne bhi kaha tha ki ye commercially viable ho sakta hai.,Long context with 25+ words across multiple sentences,mixed,mixed,bahut,0.2253558486700058,"bahut, kuch, ek","unique, interesting, useful",False,False,False,-1,under 30,0.7623666524887085,urban,0.5380371809005737,informal,0.7865557074546814,English
Baseline Model,script_variation,Mixed,medium,Aaj maine market mein <mask> kharida kyunki kal dost ke ghar jana hai.,Pure Romanized Hindi sentence,romanized,mixed,kya,0.08183670043945312,"kya, lunch, aur","gift, kuch, samaan",False,False,False,-1,under 30,0.719848096370697,urban,0.6150120496749878,informal,0.5557867288589478,English
Baseline Model,script_variation,Mixed,medium,Mujhe lagta hai ki iss saal <mask> bahut acchi hogi.,Pure Romanized Hindi with prediction,romanized,mixed,mein,0.34382981061935425,"mein, se, aap","garmi, barish, salary",False,False,False,-1,under 30,0.6626344919204712,urban,0.5158690214157104,informal,0.5505356192588806,English
Baseline Model,script_variation,Mixed,medium,Weekend par main <mask> movie dekhne jaunga friends ke saath.,Mixed Romanized Hindi and English,mixed,mixed,ek,0.1660064309835434,"ek, comedy, yeh","new, latest, ek",True,True,True,0,under 30,0.6796205043792725,urban,0.5311543941497803,informal,0.5172804594039917,English
Baseline Model,script_variation,Mixed,medium,Meeting ke baad hum <mask> discuss karenge project ke baare mein.,Mixed Romanized Hindi and English in work context,mixed,mixed,details,0.0923551544547081,"details, please, to","details, plan, strategy",True,True,True,0,under 30,0.6623753309249878,urban,0.5687983632087708,formal,0.6240397691726685,English
Baseline Model,script_variation,Mixed,medium,<mask> time par office pahunchna important hai.,Code-switching at the beginning,mixed,mixed,Part,0.19797956943511963,"Part, First, Full","on, right, correct",False,False,False,-1,under 30,0.6900889873504639,urban,0.5681273341178894,informal,0.5466436147689819,English
Baseline Model,script_variation,Mixed,medium,Main ghar <mask> late pahuncha because of traffic.,Code-switching in the middle,mixed,english,too,0.17414219677448273,"too, to, very","se, pe, mein",False,False,False,-1,under 30,0.6276736855506897,urban,0.5541326403617859,informal,0.6693669557571411,English
